"year_month","revenue"
"2009-12","683504.01"
"2010-01","555802.67"
"2010-02","504558.96"
"2010-03","696978.47"
"2010-04","591982.0"
"2010-05","597833.38"
"2010-06","636371.13"
"2010-07","589736.17"
"2010-08","602224.6"
"2010-09","829013.95"
"2010-10","1033112.01"
"2010-11","1166460.02"
"2010-12","570422.73"
"2011-01","568101.31"
"2011-02","446084.92"
"2011-03","594081.76"
"2011-04","468374.33"
"2011-05","677355.15"
"2011-06","660046.05"
"2011-07","598962.9"
"2011-08","644051.04"
"2011-09","950690.2"
"2011-10","1035642.45"
"2011-11","1156205.61"
"2011-12","517208.44"
